,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
16,ORAI1,ORAI Calcium Release-Activated Calcium Modulator 1,Protein Coding,44,GC12P122835,48.01,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI1
17,CYP27B1,Cytochrome P450 Family 27 Subfamily B Member 1,Protein Coding,47,GC12M057757,47.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1
18,GCM2,Glial Cells Missing Transcription Factor 2,Protein Coding,41,GC06M010873,47.16,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCM2
19,SLC34A3,Solute Carrier Family 34 Member 3,Protein Coding,41,GC09P137230,45.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A3
20,PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,51,GC17P068414,44.3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A
21,CYP24A1,Cytochrome P450 Family 24 Subfamily A Member 1,Protein Coding,47,GC20M054153,44.04,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP24A1
22,VDR,Vitamin D Receptor,Protein Coding,51,GC12M047841,43.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
23,CLDN16,Claudin 16,Protein Coding,41,GC03P190290,43.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN16
24,MEN1,Menin 1,Protein Coding,46,GC11M064803,43.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1
25,GNAS,GNAS Complex Locus,Protein Coding,50,GC20P058839,42.98,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS
26,CACNA2D1,Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 1,Protein Coding,45,GC07M081946,42.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D1
27,SPP1,Secreted Phosphoprotein 1,Protein Coding,46,GC04P087975,42.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1
28,RYR2,Ryanodine Receptor 2,Protein Coding,47,GC01P237042,41.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR2
29,AGXT,Alanine--Glyoxylate And Serine--Pyruvate Aminotransferase,Protein Coding,45,GC02P240868,41.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGXT
30,BGLAP,Bone Gamma-Carboxyglutamate Protein,Protein Coding,40,GC01P156242,41.21,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP
31,SLC8A1,Solute Carrier Family 8 Member A1,Protein Coding,44,GC02M040078,41.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A1
32,CACNA1G,Calcium Voltage-Gated Channel Subunit Alpha1 G,Protein Coding,48,GC17P050561,40.98,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1G
33,CACNA1F,Calcium Voltage-Gated Channel Subunit Alpha1 F,Protein Coding,45,GC0XM049205,40.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1F
34,CAMK2G,Calcium/Calmodulin Dependent Protein Kinase II Gamma,Protein Coding,47,GC10M073812,40.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G
35,CACNA1E,Calcium Voltage-Gated Channel Subunit Alpha1 E,Protein Coding,46,GC01P181317,40.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1E
36,CDC73,Cell Division Cycle 73,Protein Coding,44,GC01P193121,40.0,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73
37,ATP2A2,ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 2,Protein Coding,51,GC12P110280,39.98,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A2
38,ADCY10,Adenylate Cyclase 10,Protein Coding,45,GC01M167809,39.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY10
39,CACNA1H,Calcium Voltage-Gated Channel Subunit Alpha1 H,Protein Coding,50,GC16P001153,39.15,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1H
40,CACNB1,Calcium Voltage-Gated Channel Auxiliary Subunit Beta 1,Protein Coding,42,GC17M039173,38.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB1
41,CALCA,Calcitonin Related Polypeptide Alpha,Protein Coding,43,GC11M014945,38.75,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA
42,CACNB3,Calcium Voltage-Gated Channel Auxiliary Subunit Beta 3,Protein Coding,42,GC12P048813,38.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB3
43,CLCN5,Chloride Voltage-Gated Channel 5,Protein Coding,42,GC0XP049922,38.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN5
44,ENPP1,Ectonucleotide Pyrophosphatase/Phosphodiesterase 1,Protein Coding,47,GC06P131808,38.3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1
45,ATP2A1,ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 1,Protein Coding,48,GC16P029020,38.14,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A1
46,KL,Klotho,Protein Coding,44,GC13P033016,37.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KL
47,RET,Ret Proto-Oncogene,Protein Coding,53,GC10P043081,37.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET
48,TRPM6,Transient Receptor Potential Cation Channel Subfamily M Member 6,Protein Coding,45,GC09M074725,37.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPM6
49,ALB,Albumin,Protein Coding,50,GC04P073397,37.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
50,GRHPR,Glyoxylate And Hydroxypyruvate Reductase,Protein Coding,46,GC09P037412,37.3,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRHPR
51,CALM1,Calmodulin 1,Protein Coding,45,GC14P090396,37.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM1
52,CACNA1I,Calcium Voltage-Gated Channel Subunit Alpha1 I,Protein Coding,44,GC22P039570,37.21,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1I
53,CACNB4,Calcium Voltage-Gated Channel Auxiliary Subunit Beta 4,Protein Coding,45,GC02M151832,36.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB4
54,KCNMA1,Potassium Calcium-Activated Channel Subfamily M Alpha 1,Protein Coding,49,GC10M076869,36.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1
55,STIM1,Stromal Interaction Molecule 1,Protein Coding,48,GC11P003855,36.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIM1
56,CLCNKB,Chloride Voltage-Gated Channel Kb,Protein Coding,44,GC01P016043,35.93,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCNKB
57,EGF,Epidermal Growth Factor,Protein Coding,51,GC04P109912,35.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF
58,GALNT3,Polypeptide N-Acetylgalactosaminyltransferase 3,Protein Coding,45,GC02M165747,35.28,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT3
59,CACNA2D2,Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 2,Protein Coding,41,GC03M050385,35.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D2
60,SLC26A1,Solute Carrier Family 26 Member 1,Protein Coding,40,GC04M000979,34.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A1
61,PDGFRB,Platelet Derived Growth Factor Receptor Beta,Protein Coding,55,GC05M150113,34.26,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRB
62,PHEX,Phosphate Regulating Endopeptidase Homolog X-Linked,Protein Coding,40,GC0XP022032,34.26,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHEX
63,CASQ1,Calsequestrin 1,Protein Coding,43,GC01P160190,33.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASQ1
64,ITPR1,"Inositol 1,4,5-Trisphosphate Receptor Type 1",Protein Coding,48,GC03P004486,33.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITPR1
65,ALPL,"Alkaline Phosphatase, Biomineralization Associated",Protein Coding,50,GC01P021508,33.35,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPL
66,S100B,S100 Calcium Binding Protein B,Protein Coding,45,GC21M047431,33.2,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B
67,CACNA2D3,Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 3,Protein Coding,40,GC03P054156,33.04,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D3
68,CALM2,Calmodulin 2,Protein Coding,44,GC02M047124,32.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM2
69,CACNG1,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 1,Protein Coding,41,GC17P067044,32.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG1
70,CAMK2A,Calcium/Calmodulin Dependent Protein Kinase II Alpha,Protein Coding,49,GC05M150219,32.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2A
71,SLC20A2,Solute Carrier Family 20 Member 2,Protein Coding,46,GC08M042416,32.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC20A2
72,NOS3,Nitric Oxide Synthase 3,Protein Coding,51,GC07P150990,31.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3
73,CALB1,Calbindin 1,Protein Coding,41,GC08M090058,31.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB1
74,RYR3,Ryanodine Receptor 3,Protein Coding,41,GC15P033310,31.82,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR3
75,ATP2B1,ATPase Plasma Membrane Ca2+ Transporting 1,Protein Coding,44,GC12M089588,31.77,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B1
76,CLDN19,Claudin 19,Protein Coding,41,GC01M042742,31.23,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN19
77,ATP2A3,ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 3,Protein Coding,44,GC17M003923,31.17,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2A3
78,SLC12A1,Solute Carrier Family 12 Member 1,Protein Coding,46,GC15P048191,31.06,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1
79,S100A6,S100 Calcium Binding Protein A6,Protein Coding,43,GC01M153535,30.82,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A6
80,SLC12A3,Solute Carrier Family 12 Member 3,Protein Coding,47,GC16P056865,30.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A3
81,TRPV5,Transient Receptor Potential Cation Channel Subfamily V Member 5,Protein Coding,45,GC07M142908,30.74,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV5
82,PTH1R,Parathyroid Hormone 1 Receptor,Protein Coding,50,GC03P046877,30.42,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH1R
83,CIB1,Calcium And Integrin Binding 1,Protein Coding,41,GC15M090229,30.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIB1
84,NCS1,Neuronal Calcium Sensor 1,Protein Coding,41,GC09P130172,30.05,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCS1
85,CALM3,Calmodulin 3,Protein Coding,42,GC19P046601,30.0,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM3
86,REN,Renin,Protein Coding,48,GC01M204154,29.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN
87,SLC8A3,Solute Carrier Family 8 Member A3,Protein Coding,43,GC14M070044,29.44,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A3
88,MICU1,Mitochondrial Calcium Uptake 1,Protein Coding,39,GC10M072367,29.36,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICU1
89,S100A9,S100 Calcium Binding Protein A9,Protein Coding,43,GC01P153357,29.23,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9
90,ELN,Elastin,Protein Coding,44,GC07P074027,28.97,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN
91,CACNA2D4,Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 4,Protein Coding,42,GC12M001771,28.96,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D4
92,MCU,Mitochondrial Calcium Uniporter,Protein Coding,36,GC10P072692,28.77,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCU
93,CABP1,Calcium Binding Protein 1,Protein Coding,34,GC12P120676,28.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABP1
94,PTHLH,Parathyroid Hormone Like Hormone,Protein Coding,45,GC12M027959,28.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTHLH
95,HOGA1,4-Hydroxy-2-Oxoglutarate Aldolase 1,Protein Coding,39,GC10P097585,28.21,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOGA1
96,KCNN3,Potassium Calcium-Activated Channel Subfamily N Member 3,Protein Coding,44,GC01M154697,28.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN3
97,S100A8,S100 Calcium Binding Protein A8,Protein Coding,42,GC01M153391,28.03,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8
98,KCNN4,Potassium Calcium-Activated Channel Subfamily N Member 4,Protein Coding,48,GC19M043767,27.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN4
99,PLA2G4A,Phospholipase A2 Group IVA,Protein Coding,49,GC01P186798,27.8,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G4A
100,FXYD2,FXYD Domain Containing Ion Transport Regulator 2,Protein Coding,43,GC11M117800,27.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXYD2
101,CAMK2D,Calcium/Calmodulin Dependent Protein Kinase II Delta,Protein Coding,48,GC04M113452,27.69,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2D
102,CAMK4,Calcium/Calmodulin Dependent Protein Kinase IV,Protein Coding,45,GC05P111223,27.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK4
103,ATP2B2,ATPase Plasma Membrane Ca2+ Transporting 2,Protein Coding,45,GC03M010324,27.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B2
104,CACNG2,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 2,Protein Coding,44,GC22M036561,27.44,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG2
105,PLA2G6,Phospholipase A2 Group VI,Protein Coding,47,GC22M046185,27.39,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6
106,KCNMB1,Potassium Calcium-Activated Channel Subfamily M Regulatory Beta Subunit 1,Protein Coding,42,GC05M170374,27.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB1
107,HSPG2,Heparan Sulfate Proteoglycan 2,Protein Coding,45,GC01M021822,27.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPG2
108,SLC24A3,Solute Carrier Family 24 Member 3,Protein Coding,39,GC20P019212,27.16,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A3
109,ATP2B4,ATPase Plasma Membrane Ca2+ Transporting 4,Protein Coding,44,GC01P203626,27.14,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B4
110,CAMK2B,Calcium/Calmodulin Dependent Protein Kinase II Beta,Protein Coding,50,GC07M044217,27.06,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2B
111,CCND1,Cyclin D1,Protein Coding,52,GC11P069641,26.93,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
112,CACNG4,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 4,Protein Coding,40,GC17P066964,26.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG4
113,PDCD6,Programmed Cell Death 6,Protein Coding,39,GC05P000272,26.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD6
114,SLC8A2,Solute Carrier Family 8 Member A2,Protein Coding,40,GC19M047428,26.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A2
115,CAMK1,Calcium/Calmodulin Dependent Protein Kinase I,Protein Coding,43,GC03M009774,26.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1
116,SLC8B1,Solute Carrier Family 8 Member B1,Protein Coding,38,GC12M113298,26.41,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8B1
117,S100A1,S100 Calcium Binding Protein A1,Protein Coding,41,GC01P153627,26.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A1
118,MICU2,Mitochondrial Calcium Uptake 2,Protein Coding,36,GC13M021492,26.29,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICU2
119,LBR,Lamin B Receptor,Protein Coding,47,GC01M225401,26.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LBR
120,SLC24A1,Solute Carrier Family 24 Member 1,Protein Coding,44,GC15P065611,26.2,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A1
121,KCNN1,Potassium Calcium-Activated Channel Subfamily N Member 1,Protein Coding,39,GC19P023319,26.07,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN1
122,IL10,Interleukin 10,Protein Coding,47,GC01M206767,25.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
123,S100A10,S100 Calcium Binding Protein A10,Protein Coding,45,GC01M151955,25.81,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A10
124,GRM1,Glutamate Metabotropic Receptor 1,Protein Coding,50,GC06P145973,25.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM1
125,NR1I3,Nuclear Receptor Subfamily 1 Group I Member 3,Protein Coding,44,GC01M161229,25.71,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I3
126,CXADR,CXADR Ig-Like Cell Adhesion Molecule,Protein Coding,43,GC21P017512,25.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXADR
127,CACNG6,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 6,Protein Coding,38,GC19P053991,25.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG6
128,CAMKK2,Calcium/Calmodulin Dependent Protein Kinase Kinase 2,Protein Coding,45,GC12M121309,25.56,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK2
129,CASQ2,Calsequestrin 2,Protein Coding,44,GC01M115700,25.51,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASQ2
130,TRPC4,Transient Receptor Potential Cation Channel Subfamily C Member 4,Protein Coding,44,GC13M037636,25.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC4
131,CD44,CD44 Molecule (Indian Blood Group),Protein Coding,47,GC11P035139,25.31,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
132,HRC,Histidine Rich Calcium Binding Protein,Protein Coding,36,GC19M049151,25.23,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRC
133,CYP2R1,Cytochrome P450 Family 2 Subfamily R Member 1,Protein Coding,45,GC11M014877,25.18,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2R1
134,CALCR,Calcitonin Receptor,Protein Coding,48,GC07M093424,25.0,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCR
135,TRPC1,Transient Receptor Potential Cation Channel Subfamily C Member 1,Protein Coding,42,GC03P142724,25.0,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC1
136,CALR,Calreticulin,Protein Coding,51,GC19P012938,24.99,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR
137,CALB2,Calbindin 2,Protein Coding,40,GC16P071392,24.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB2
138,ATP2B3,ATPase Plasma Membrane Ca2+ Transporting 3,Protein Coding,47,GC0XP153517,24.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B3
139,GATA3,GATA Binding Protein 3,Protein Coding,49,GC10P008045,24.89,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3
140,S100A12,S100 Calcium Binding Protein A12,Protein Coding,39,GC01M153373,24.78,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12
141,PDGFB,Platelet Derived Growth Factor Subunit B,Protein Coding,50,GC22M045657,24.64,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB
142,S100A4,S100 Calcium Binding Protein A4,Protein Coding,44,GC01M153543,24.62,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A4
143,CANT1,Calcium Activated Nucleotidase 1,Protein Coding,44,GC17M078992,24.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANT1
144,OCRL,OCRL Inositol Polyphosphate-5-Phosphatase,Protein Coding,44,GC0XP129539,24.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCRL
145,SLC24A2,Solute Carrier Family 24 Member 2,Protein Coding,39,GC09M019507,24.48,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC24A2
146,ORAI3,ORAI Calcium Release-Activated Calcium Modulator 3,Protein Coding,33,GC16P030949,24.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI3
147,CRP,C-Reactive Protein,Protein Coding,46,GC01M159716,24.34,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP
148,ORAI2,ORAI Calcium Release-Activated Calcium Modulator 2,Protein Coding,38,GC07P102433,24.24,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI2
149,CACNG7,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 7,Protein Coding,37,GC19P053909,24.2,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG7
150,SRI,Sorcin,Protein Coding,42,GC07M088205,24.14,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRI
151,KCNMB4,Potassium Calcium-Activated Channel Subfamily M Regulatory Beta Subunit 4,Protein Coding,40,GC12P070369,24.1,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB4
152,CACNG8,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 8,Protein Coding,37,GC19P054637,24.08,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG8
153,S100P,S100 Calcium Binding Protein P,Protein Coding,40,GC04P006700,24.05,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100P
154,CACNG3,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 3,Protein Coding,41,GC16P024267,24.05,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG3
155,SLC34A2,Solute Carrier Family 34 Member 2,Protein Coding,45,GC04P025657,23.66,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC34A2
156,GNAQ,G Protein Subunit Alpha Q,Protein Coding,49,GC09M077716,23.61,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ
157,ACE,Angiotensin I Converting Enzyme,Protein Coding,49,GC17P063477,23.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
158,TRPC6,Transient Receptor Potential Cation Channel Subfamily C Member 6,Protein Coding,48,GC11M101356,23.6,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC6
159,HPCA,Hippocalcin,Protein Coding,41,GC01P032885,23.49,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPCA
160,PLN,Phospholamban,Protein Coding,44,GC06P118548,23.45,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLN
161,CACNG5,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 5,Protein Coding,40,GC17P066835,23.4,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG5
162,DMD,Dystrophin,Protein Coding,46,GC0XM031047,23.11,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD
163,S100G,S100 Calcium Binding Protein G,Protein Coding,36,GC0XP016668,23.09,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100G
164,KCNN2,Potassium Calcium-Activated Channel Subfamily N Member 2,Protein Coding,43,GC05P114058,22.92,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN2
165,CFTR,CF Transmembrane Conductance Regulator,Protein Coding,51,GC07P117287,22.9,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR
166,RASGRP2,RAS Guanyl Releasing Protein 2,Protein Coding,45,GC11M064726,22.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRP2
167,DSPP,Dentin Sialophosphoprotein,Protein Coding,37,GC04P087608,22.78,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSPP
168,PSEN1,Presenilin 1,Protein Coding,52,GC14P073136,22.77,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1
169,INS,Insulin,Protein Coding,48,GC11M002159,22.7,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
